,Speaker,Speech,Date,Type,Gender,Party,Category
112,SHRI VIVEK NARAYAN SHEJWALKAR,"I support and welcome the  Interim Budget for the year 2024-25.  This budget has an allocation of  Rs. 1 lakh  crore for promoting new research and innovation and sufficient allocation has been  made for tax rebates and capital expenditure for start-ups.  The target of 2 crore  additional dwelling units in the next 5 years under the Pradhan Mantri Awas Yojana  has been set and all the Asha Workers, Aanganwadi workers and helpers are included  in the Ayushman Bharat Scheme. In view of promoting tourism, there is a scheme to  offer long-term loans to the states at zero interest rates.  The expansion of tourism  infrastructure and facilities will be done on all the islands including Lakshadweep.  In  the last 10 years, tax collection increased ten times and the number of those filing  income tax returns has gone up by two and half times.  To protect the environment  and to achieve zero carbon emission by the year 2070, a target of installing solar  panels on the rooftops of one crore houses has been set.  New schemes will be  introduced for biomanufacturing and bio-foundry. ","Wednesday, February 7, 2024",Union Budget,M,BJP,Neutral
113,DR. ALOK KUMAR SUMAN,"The Budget 2024 lays special emphasis on the  upliftment of women, youth, farmers and the poor. The Interim Budget 2024 has  provided Rs 502 crore for the UDAN scheme to revive 22 airports. Grant should also  be provided to Sabeya Airport located in my Parliamentary Constituency Gopalganj  so that air service can start from there as soon as possible. If there is more allocation  for 7 Nischay, Part-2 Scheme of Bihar in the budget, then the pace of development  will increase. Capital expenditure has been increased to Rs 11 lakh 11 thousand 111  crore in this Budget by keeping the fiscal deficit under control, which will develop  infrastructure in the country and provide countless employment opportunities. This  budget has encouraged the use of Nano DAP, a scheme for animals, expansion of the  fisheries scheme which will benefit farmers immensely. The allocation has been made  to develop several important corridors for Railways. I suggest that the budget should  be allocated to develop heavy traffic corridors like Thawe.","Wednesday, February 7, 2024",Union Budget,M,JDU,Neutral
114,SHRI SANGAM LAL GUPTA,"Our Prime Minister has resolved to make  India the third-largest economy in the world in the coming five years. The  Government has announced to provide free ration to 80 crore people for the next 5  years in the budget. The Government, through digitalization, has eliminated  corruption in the economy and transferred the funds of the schemes directly into the  accounts of the beneficiaries.  The Government is building a strong nation by  formulating public welfare schemes. Four crore farmers have been provided crop  insurance under the Pradhan Mantri Fasal Bima Yojana. Under the Skill India  Mission, 1.4 crore youth have been trained and the skills of 54 lakh youth have been  upgraded. Many big enterprises including 3000 new ITIs have been set up in the  country. The implementation of the Pradhan Mantri Awas Yojana continued despite  challenges like Covid.  Arrangements have been made for the construction of 2 crore  additional houses, providing free electricity upto 300 units per month to one crore  families and vendors for installation of charging  stations to  meet the requirement of  electric vehicles  in  the next five years.  It has been decided to increase the target of  ""Lakhpati Didi"" from two crore to three crore for the empowerment and self-reliance  of 83 lakh Self-Help Groups of 9 crore women. I thank the Government for  developing tourist centres and expansion of railway infrastructure projects such as  Metro rail and Namo Bharat in the coming days.","Wednesday, February 7, 2024",Union Budget,M,BJP,Appreciate
115,SHRI RITESH PANDEY,"A paltry allocation has been made for the  Scheduled Caste (SC) and Scheduled Tribe (ST) in the interim Union Budget 2024- 25, which is a matter of concern. The total allocation for the welfare of the SCs is Rs  1,65,598 crore and for the STs, Rs 1,21,023 crore; whereas, the total estimated  expenditure in the budget is Rs 51,08,780 crore. The funds under Pradhan Mantri Adi  Adarsh Gram Yojana were released for less than 40 percent of approved villages. This  results in setbacks to the scheme's objectives due to limited fund releases. The  allocation towards Venture capital for Dalits has been drastically reduced from Rs 70  crore to Rs 10 crore. Dalits, women and other marginalised sections of the society had  to face a strong wave of atrocities against them across the country.  It is evident that  allocations for crucial schemes related to skill development and livelihoods, as well as  the educational and social upliftment of minorities, have been reduced this time. In the  year 2023-24, the education scheme for madrasas and minorities was reduced by 93  per cent to Rs 10 crore as compared to the previous year. This time, it has been further  reduced to a mere Rs 2 crore. This time, the budget for the pre-matric scholarship for  minorities has been reduced to 326.16 crores. Further reductions in the funds and the  closure of many such schemes will be detrimental to the minorities in India. This  would harshly affect the participation and enrolment of students belonging to the  minority community, particularly girls and women. The actual disbursement of  incentives for LSEM PLI turned out to be only Rs 1,655 crore. The incentives  disbursed in the first two years amount to less than 2 percent of the total scheme  outlay.","Wednesday, February 7, 2024",Union Budget,M,BSP,Blame
116,SHRI DULAL CHANDRA GOSWAMI,"This is an all-round, all-touching,  visionary, all-inclusive and progressive Budget. Construction of rail ROB at Bhagwan  Chowk and Chhitabari in Katihar Mukuria railway section of Katihar Railway  Division; Construction of the proposed new four-lane road from Katihar to  Bangladesh border via Bastaul, Rohia-Khopra, Azamnagar, Barsoi, Vighor, Wahin- Makra of West Bengal and Raiganj; immediate construction of road from NH-131A  Manihari under Katihar district to Mahananda River Bridge Nakkati at Ahmedabad  Bengal border for which tender has been awarded; construction of proposed four-lane  road from Kolashi to Dalan Chowk in Katihar district and the proposed new four-lane  road from Pirpainti NH-80 to Phulwaria NH-31 via Kadhgola connecting Bhagalpur  and Katihar districts and construction of bridge may be done in Katihar Parliamentary  Constituency of Bihar. In this interim Budget, works will be carried out on doubling  of railway lines, laying of new railway lines, construction of ROB and underpass  besides the increasing of amenities for passengers in Bihar. This will help a lot in new  Projects. The youth, poor, women and farmers of the country have been transformed  through many Schemes including Pradhan Mantri Jan Dhan Yojana, Vishwakarma  Yojana, and Kisan Samman Nidhi Yojana. Taking people out of the poverty line is a  major achievement of the Union Government.","Wednesday, February 7, 2024",Union Budget,M,JDU,Appreciate
117,SHRIMATI SANDHYA RAY,"In the interim budget for the year 2024-25,  while making the welfare of every Indian meaningful, works have been undertaken on  the four strong pillars, by encompassing Sabka Saath, and Sabka Vikas. Those four  pillars are - youth power, women power, farmers and the poor. The Government,  while imitating welfare measures for these four classes, has provided Rs. 30 crore  Mudra loans to the women, increased the enrollment of women in higher education by  28 percent and provided ownership rights to 70 percent of women in PM Awas  Yojana. The Government has formulated a scheme to vaccinate girls between the ages  of 9 and 14 years for Cervical Cancer and has initiated measures to cover ASHA  workers, Anganwadi workers and other workers under the Ayushman Bharat scheme.  10 crore Ujjwala gas connections were provided to the people and 11 crore rural  households were connected through Nal Jal Yojana. Toilets were constructed in 11  crore houses and free ration was provided to 81 crore people. 40 thousand railway  tracks were laid, wherein, both the districts of Bhind Lok Sabha Constituency - Bhind  and Datia railway stations were incorporated under the AMRUT scheme. Four ROBs  of the railway have been constructed at Ater Bridge, Gohad, Mehgaon Soni, Barahet,  and Monera. Maa Pitambaramai Dham has been connected under the UDAN scheme  for the construction of the airport. The construction of six-lane/four-lane roads for the  Bhind, Gwalior, and Etawah route has been approved. The setting up of a medical  college in Bhind has also been sanctioned. The Nari Shakti Vandan Act has been  enacted to provide for 33 percent reservation to women in the Parliament and  Legislative Assemblies in the coming time. The Government under the leadership of  Hon. Modi ji is working with the motto of the welfare of all. The people of the  country have full faith in the Hon. Prime Minister.","Wednesday, February 7, 2024",Union Budget,F,BJP,Neutral
118,SHRI RAM SHIROMANI VERMA,"The Interim Budget overlooked rising  unemployment, rising inflation, and deepening economic slowdown, the farmer and  the middle-class people. I demand that a medical college should be set up at Shravasti.  I also demand that a government college and a technical college should be opened in  the Shravasti and Balrampur districts. In my Constituency, 6 development blocks of  both districts touch the Indo-Indo-Nepal border. A separate provision should be made  in the Interim Budget for barricading and high mast lights for security in villages  located in the forest along the border. The honorarium of Anganwadi workers should  be increased to Rs 15,000, and that of ASHA to Rs 2,500. Farmers should be given  subsidies on petrol and diesel. Kisan Samman Nidhi should be increased to Rs 18,000.  Free electricity should be provided to farmers for tubewell connections. There is a  need to conduct a caste census in the country.","Wednesday, February 7, 2024",Union Budget,M,BSP,Call For Action
119,SHRIMATI RANJANBEN BHATT,"This is the first budget presented in the  new Parliament House by the Hon. Minister of Finance under the leadership of Hon.  Prime Minister, Shri Narendra Modi, which is an all-inclusive, all-encompassed and  all-round development oriented budget. Under the leadership of the Hon. Prime  Minister, there have been positive changes in the country's economy in the last 10  years. Today every Indian is feeling proud of himself and India is going to become the  third largest economy in the world in the coming times. There has been all-round  development of every person from every section of the country. The implementation  of rural development schemes has been expedited and every public welfare scheme of  the Government has reached the last section of the people. During the Corona  pandemic, free ration was provided to more than 80 crore people and despite the  Corona pandemic, 3 crore Pucca houses have been built under the Pradhan Mantri  Awas Yojana (Rural) along with economic essential supplies. Today, India is moving  forward at a fast pace under the “Atmanirbhar Bharat” scheme, the sales of Khadi and  village industry products have increased by more than 4 times. The number of startups  has increased in the country. India's defence production has reached Rs 1 lakh crore.  Taking decisions in the national interest, One Rank One Pension was implemented by  the Government. 25 crore people in the country have been able to come out of  poverty. The aim of the Union Government is the development of the poor, women,  farmers and youth. Under the Government's Skill India Scheme, 4 crore youths have  benefitted and financial assistance of Rs 43 crore has also been provided under the PM  Mudra Loan Scheme. Women empowerment has been emphasized by the Government  during the last 10 years. By giving 33 percent reservation to women their participation  in Lok Sabha and Assembly has been increased. Under the Lakhpati Didi Scheme, one  crore women have become Lakhpati Didis. The MSP of farmers has been increased by  the Government. 38 lakh farmers have benefitted under the Pradhan Mantri Kisan  Sampada Yojana and 10 lakh employment opportunities have been created.  Recognizing the importance of helping the fishermen, the Government has established  the Department of Fisheries. The three-fold increase in capital expenditure outlay in  the last 4 years has resulted in increased economic growth and employment  generation. I support the ""all-friendly, all-inclusive and all-round"" interim budget of  the Central Government presented by the Hon. Minister of Finance Smt. Nirmala  Sitharaman under the leadership of Hon. Prime Minister, Shri Narendra Modi.  ","Wednesday, February 7, 2024",Union Budget,F,BJP,Appreciate
120,SHRIMATI DIMPLE YADAV,"The current Government is talking about the  four strong pillars of developed India which are youth, women, farmers and poor  people but today, the youths of the country are unemployed. The youths is very  disappointed. MSME enterprises which are capable of providing employment are also  continuously declining. The people who are capable of providing employment are  leaving the country due to tax terrorism. Violence against women is continuously  increasing. India has the highest number of cases of wasting and stunting in babies.  Farmers are not being provided subsidies. Be it vegetables, milk, cylinder or petrol,  inflation is increasing. The Government is talking about IITs, Triple IITs, Universities  and AIIMS. AIIMS buildings are ready in Raebareli and Gorakhpur. But, the  Government is not capable of providing staff and equipment to the said AIIMS.","Wednesday, February 7, 2024",Union Budget,F,SP,Blame
121,SHRI VIJAY KUMAR HANSDAK,"This is fully an electoral budget. This  country has the highest taxation system and despite that, no social security efforts  have been made. Attempts have been made to plunge the country into debt with false  promises. The Government neither provided employment, petrol, or diesel nor  reduced the inflation but they burdened each person with the debt of more than one  lakh rupees.","Wednesday, February 7, 2024",Union Budget,M,Jharkhand Mukti Morcha,Blame
122,SHRI RAMCHARAN BOHRA,"The Government, under the leadership of  Prime Minister Narendra Modi ji has made India such a big economic, technological  and military power in the last 10 years, that, today, no single country in the whole  world can compete with India on these three fronts. This budget is the foundation  stone to make India a developed nation by the year 2047. It will further empower the  four pillars of a developed India i.e. youth, poor, women and farmers. The  achievement of setting up 3000 new ITIs demonstrates the farsighted vision of the  Government. The introduction of the nano category of fertilizers and the incorporation  of modern technologies will help the farmers and rural areas of the country to harness  their full potential. The focus of tourists from all over the world has turned to India  after the visits of the Hon'ble Prime Minister to Lakshadweep and the Pink City,  Jaipur. It has been decided to provide long-term interest-free loans to the States for the  all-round development of famous tourism destinations. Railways has been allocated a  budget of Rs 02.56 lakh crore. Primarily, three new Railway Corridors will be  constructed and the number of modern trains like Namo Bharat and Metro trains will  be increased. Along with that, 40,000 general coaches will be converted into Vande  Bharat coaches. One crore families will be able to get free electricity up to 300 units  every month through rooftop solarization under the Pradhan Mantri Suryodaya  Yojana. I would like to request that the work of revival of the Ramgarh and Kalakh  dams be completed at the earliest by including it in the first phase of the E.R.C.P.  project.   ","Wednesday, February 7, 2024",Union Budget,M,BJP,Neutral
123,SHRI TEJASVI SURYA,"Ten years ago, India was considered one among  the fragile five but today, it has emerged as the fifth most powerful economy in the  world. Karnataka State has also developed significantly. The Prime Minister has  rewarded Karnataka with various projects such as expressway, highways, new  airports, new railway lines, electrification of railways, smart city projects,  development of urban areas under the Amrut Yojna and the development of rural  areas etc. Thus, in several ways, Karnataka is marching on the path of progress. India  is the root of the tree. The provinces are her branches. Further, the onus of running the  nation is on both the Centre and the states. The “My tax, my right” argument is  against the spirit of the Constitution as well as against the Federal structure of the  nation. The time is ripe to condemn such a divisive and anti-constitutional mentality.  Those who claim to be socialists argue that redistribution of wealth is the basis of  socialism and have won elections on such claims, are talking about “my tax, my right”  issue. If one goes on pressing for “my tax, my right” claim, is it possible to run the  nation or the State of Karnataka? If taking a cue from their “my tax, my right”  argument, the coal-producing states such as Bihar, Jharkhand and others refuse to  supply coal to Karnataka, is it possible to run the country? During the last five years,  Karnataka has been at the top of the FDI chart. The reason is the schemes such as  Make in India, Digital India and the Prime Minister's foreign policy success. All these  initiatives helped Karnataka to progress. So, it is not appropriate to make allegations  against the Union Government which is to function in the federal system.","Wednesday, February 7, 2024",Union Budget,M,BJP,Appreciate
124,DR. SANGHAMITRA MAURYA,"The Prime Minister has shown in 10  years how we can develop our country. The Government led by the famous Prime  Minister of the country believes in fulfilling regional aspirations for the progress of  the country.  I'd like to thank the Hon. Railway Minister that one station of our  Badaun Area is also included in the 157 new stations which are being constructed  under the Amrit stations. I would like to thank the Finance Minister of this country,  Hon. Nirmala Sitharaman ji, who introduced the cervical cancer vaccine in this budget  so that our girls of 9 to 14 years of age can be protected from cervical cancer.  Today,  the way the Prime Minister of this country is handling the challenges of the last 65  years during last10 years and putting his energy into nation-building, the day is not far  when this country will be a developed nation. ","Wednesday, February 7, 2024",Union Budget,F,BJP,Appreciate
125,SHRI NIHAL CHAND CHOUHAN,"The Finance Minister has presented a  visionary budget towards making India a developed nation till 2047. The Government  has paid special attention to strengthening the infrastructure of the country. Despite  the slowdown in the world, our current growth rate is around 7.5 percent. Today India  is free from backwardness, poverty and corruption and is making a strong identity as a  strong nation in the world. During the last 10 years, 4.75 lakh km of new rural roads  have been constructed and the length of national highways has increased from 90  thousand km to 1 lakh 46 thousand km. Today there are more than 1 lakh registered  startups in India. About 11 crore households were provided with piped water. More  than 4 crore poor families have been provided with pucca houses. 10 crore women  were provided gas connections under the Ujjwala scheme. Free ration was distributed  to 80 crore countrymen and from 1 January 2024, it was also extended for the next 05  years. The Government has passed the ""Nari Shakti Vandan Act"". Thank you.","Wednesday, February 7, 2024",Union Budget,M,BJP,Appreciate
126,SHRI BIDYUT BARAN MAHATO,"I welcome this interim budget as an all- inclusive and public-welfare Union Budget. This budget will fulfil the dreams of  every section of the people. This budget will also be capable of fulfilling the dreams  of the aspirational society including the poor, middle class, farmers and women.  Keeping in mind the economic-social upliftment of the tribal community in the  country, the Tribal Justice Mahabhiyan (PM Janman) scheme has been launched.  Special schemes have been launched to encourage tribal arts, handicrafts and food  products. The government has launched the Pradhan Mantri Tribal Vikas Mission for  the development of tribal communities. The government has launched many schemes  for the welfare of tribals. More than 10 crore houses have benefited through the  Ujjwala scheme. Provision for Vande Bharat train has been made in this budget. Three  major railway corridors have been proposed under Gati Shakti. Under the PM Jan  Dhan Yojana, so far in the country accounts of more than 50 crore poor people have  been opened. Many welfare schemes like PM Mudra Yojana, PM Awas Yojana, PM  Kisan Samman Yojana, PM Swanidhi Yojana, free ration to 80 crore people and  rooftop solarization scheme and free electricity rooftop solarization scheme under  which free electricity up to 300 units will be given every month to every house have  been started. Promotion of Nano Urea, development of infrastructure, promotion of  cervical cancer vaccination, and extension of Ayushman Bharat to all ASHAs,  Anganwadi workers and Sahaika are important decisions of the Government. For the  development of women and their dignity, more political representation of women has  been ensured by passing the Women's Reservation Bill. Under PM-Kisan Samman  Yojana, every year 11.8 crore farmers are provided assistance through DBT. Under  the Skill India Mission, 1.4 crore youth have been trained and 3000 new ITIs have  been established. This interim budget is going to take the country forward.","Wednesday, February 7, 2024",Union Budget,M,BJP,Neutral
127,SHRI JANARDAN SINGH SIGREEWAL,"The basic Mantra of the  Government is to work with ""Sabka Saath, Sabka Vikas aur Sabka Vishwas"" which  will lead to the all-round development of all people and all regions. The Government  has focused on 'poor', 'women', 'youth' and 'farmers' to make India a developed  country by 2047. Under the PM Kisan Samman Yojana, direct financial assistance  was provided to 11.8 crore farmers including marginal and small farmers every year.  1361 Mandis have been integrated through the electronic National Agriculture  Market. Assistance is also being provided to link farmers with the food processing  industry. The trend of Nano DAP with Nano urea instead of granular fertilizers is also  being increased. 55 lakh employment opportunities in future under PM Matsya  Sampada Yojana will be created. Various development schemes are being run for the  promotion of women's empowerment. Vaccination for girls in the age group of 9 to 14  years will be started to protect against cervical cancer. Schemes like “Saksham  Anganwadi and Poshan 2.0"" are being implemented for the health care and  development of mothers and sisters. Poverty alleviation of people under Garib Kalyan,  Desh Kalyan is being done. Direct benefit transfers of Rs. 34 lakh crore have been  made through PM Jan Dhan Accounts. PM SVANidhi extends loan assistance to 78  lakh street vendors. PM Vishwakarma Yojana is meant to help artisans and craftsmen  engaged in 18 works. Provisions of free ration for 80 crore people have been made.  Keeping in mind the empowerment of the youth of Amrit Peedhi, 1.4 crore youth were  trained under the Skill India Mission. The cost of capital expenditure has increased  three times during the last 4 years and the budget has been increased by 11%. The  number of airports in the aviation sector has doubled in the last ten years. The defence  budget outlay has been increased by 27000 crore rupees. In the historic proud moment  of 22 January 2024, the “Praan Pratishtha” of Shri Ram temple was done in Ayodhya.  Under the ""Suryodaya Yojana"", rooftop solarisation was introduced which will  provide free electricity to 1 crore households up to 300 units every month.","Wednesday, February 7, 2024",Union Budget,M,BJP,Neutral
128,SHRI KHAGEN MURMU,"I rise to appreciate the remarkable progress made  under the visionary leadership of the Prime Minister. The efforts of the Government  have led to a reduction in poverty and made a significant improvement in the financial  condition of households. With the Jan Dhan Yojana, 51 crore bank accounts have  been opened in which total deposits of over Rs 2.1 lakh crore have been made. More  than 35% of these accounts are held by women. It has proved to be a game-changer  for millions of such people. Our Government is working tirelessly to meet the needs  of the coming generation. The Skill India Mission has trained 1.4 crore youths. The  Government has launched schemes like PM SVANIDHI Yojana, which aims to  empower and uplift our informal sector. Large capital expenditure has been invested  in infrastructure development during the last 10 years. The previous year's budget  (2023-24) saw a 37.4% increase in capital expenditure as compared to FY 2022-23.  This huge capital expenditure has led to exceptional infrastructure addition. Other  countries look at our DBT (Direct Beneficiary Transfer) and Unified Payments  Interface (UPI) with great aspiration. All this is the result of Modi ji's foresight and  concerted efforts of his Government.","Wednesday, February 7, 2024",Union Budget,M,BJP,Appreciate
129,SHRI NARANBHAI KACHHADIA,"I welcome the all-inclusive and people- friendly Union Budget  to fulfil the resolve of ""Developed India"" during the Amrit  Kaal of Independence. Through this budget dreams of people of every section will be  fulfilled. This budget of Amrit Kaal is a budget that will lay the foundation for  building a developed India. This budget will also be capable of fulfilling the dreams of  the poor, middle-class, aspirational society including farmers and women. The country  is emerging as a global leader and is moving towards becoming a world leader.The G- 20 Summit was successfully organized under the leadership of Hon'ble Prime Minister  Shri Narendra Modi.  The government has saved Rs 2.7 lakh crore through the Rs 34  lakh crore (DBT) through PM Jan Dhan accounts. Through rooftop solarization and  free electricity rooftop solarization, 1 crore households will be able to get free  electricity up to 300 units every month. Under the PM Kisan Samman Nidhi Yojana,  direct financial assistance is provided to 11.8 crore farmers every year. Today we are  very close to achieving the target of about 4 crore pucca houses under the PM Awas  Yojana. In this budget, provision has been made in the budget to construct two crore  additional houses in the next 5 years. Women entrepreneurs have been given a Mudra  Yojana loan of 30 crores. Making triple talaq illegal, one-third reservation of women  in Lok Sabha and state assemblies, and giving more than 70% of houses under PM  Awas Yojana in rural areas to women as single or joint owners have enhanced their  dignity.  Our government is working to further empower the women of the country by  promoting cervical cancer vaccination for girls between 9 and 14 years of age, free of  cost. Further, to extend the benefits of Ayushman Bharat to more people, the scheme  will be extended to all ASHAs, Anganwadi workers and helpers.  There has been a  substantial increase in the number of airports in the country, which has now reached  149. Our Government has laid a lot of emphasis on making the passenger trains safe  and de-congesting the railway system. In order to increase safety and convenience for  middle-class people, a provision has been made in this budget to convert 40,000  normal railway coaches according to the standards of the Vande Bharat train. Apart  from this, 83 lakh self-help groups along with nine crore women are transforming the  rural socio-economic scenario with empowerment and self-reliance. In this interim  budget, a target has been set to increase the target of making Lakhpati Didi from 2  crores to 3 crores.  Under the PM-Kisan Samman Yojana, 11.8 crore farmers are  provided assistance through DBT every year and so far 4 crore farmers have been  provided crop insurance under the PM Fasal Yojana. 1.4 crore youth have been  trained under the Skill India Mission, 54 lakh youth have been skilled and 3000 new  ITIs have been established. This budget is a pro-people budget. Keeping in mind such  all-inclusive development and the lifestyle of the common man, I express my heartfelt  gratitude to the Hon'ble Prime Minister Shri Narendra Modi and the Finance Minister  for presenting the Amritkal budget of about Rs. 47.66 lakh crore dedicated to the  development of the nation.","Wednesday, February 7, 2024",Union Budget,M,BJP,Appreciate
130,SHRI ASIT KUMAR MAL,"I think this budget is a non-sequitur. The  capitalists, the industrialists and the richer people will be happy in this budget. The  poor, the middle-class people, the farmers and labourers will fail to get rid of their  economic problems. There is no mention of unemployment and price hikes. The fund  of Awas Yojna has been stopped only for West Bengal. The money of different  central schemes is not given to West Bengal. On the other hand, the Hon’ble Chief  Minister of West Bengal has declared to give the wages of 21 lakhs 100 days workers  by 21st February 2024. I am protesting this budget because it is meaningless to the  poor and middle-class people.","Wednesday, February 7, 2024",Union Budget,M,TMC,Blame
131,SHRI ARVIND SAWANT,"The most important problem facing us today is  unemployment. The dreams of our youth are being shattered.  Recently, a report came  in which it was seen that the dream of 1.5 crore youth was shattered due to unfair  means in 41 examinations for recruitment in jobs in 15 states of the country. The  reason for this is the declining jobs in the private sector and the corrupt machinery in  the Government sector. Farmers in Maharashtra are committing suicide even today.  You promised MSP. You forgot women's veneration! What happened in Manipur is a  blot on our country's image. The women players who had won gold and silver medals  at the Olympic level were agitating on the road for justice. Mumbai is the financial  capital of India. Maharashtra has been a pioneer in the industry world, but your  government has taken every industry coming from Maharashtra to Gujarat. You may  recall, in the same way, you had blamed the previous government for the present state  of affairs of BSNL and MTNL in 2014 and promised that both companies would  emerge in the coming time. Both the companies collapsed. Lakhs of customers of  MTNL/ BSNL have returned landline phones. Crores of rupees from the VRS of the  employees of the Mahanagar Telephone Nigam Ltd. are being used by the  Government without  paying any interest to them. People are working on a contract  basis. I demanded that the government to install 'Chhatrapati Shivaji Maharaj  Maharaj's  ‘statue' in front of the headquarters of Chhatrapati Shivaji Maharaj  Terminus.  Chairman of the Railway Board or any other officer, 'It is not the policy of  the Railways to put the statue in the courtyard of the railway station or office. Mumbai  Central Station I have been requesting for the last ten years to name the terminus as  Nana Shankarash Sethi. Maharashtra has British-era BDD chawl settlements. The  Government of Maharashtra and Mumbai Municipal Corporation passed this proposal  unanimously and sent it to the government, till date the naming has not been done.  The redevelopment of three of these settlements, M. Joshi Marg (Curry Road) and  Sewdi, started but the development of B.D.D. Chawl located in Sewdi has not started  yet, due to lack of permission from the central government. Currently, land is owned  by the Mumbai Port Authority in which the middle class lives. Today, you want to  vacate the people living in this building by giving them BPT notices. Our senior  citizens are in a very bad condition. Under EPS-95, they get a pension of Rs. 1,200/-  to Rs. 1,500/, these elderly people are sitting on a fast at Jantar Mantar in the cold of  Delhi today, demanding a hike in their pension.","Wednesday, February 7, 2024",Union Budget,M,Shiv Sena,Issue
132,DR. SHRIKANT EKNATH SHINDE,"I have been a Member of this House  for 10 years, which I would call the decade of development and achievements. In  these ten years, I saw the country transform from one of 5 fragile to one of the top 5  economies. On 22 January, the idol of Lord Shri Ram was consecrated in Ayodhya. I  congratulate the Hon'ble Prime Minister and the Finance Minister because they have  brought this budget for the development of all sections. This budget is a source of  hope for 140 crore Indians. Budget is not just a game of numbers, rather the  government gives an account to every citizen of this country through the budget where  the hard-earned money is being used and for whom. Today, tax is not a burden but a  contribution of the people – for the bright future of India. In this interim budget, the  Rooftop Solarization Scheme has been announced. Crores of households will get free  electricity up to 300 units and this will save 15 to 18 thousand crore rupees annually.  A housing scheme for the middle class has been announced. Under the leadership of  the Prime Minister, parliament has also passed the Women's Reservation Act which  was pending for 3 decades. The budget also has a provision for the skill development  of 3 crore women through the Lakhpati Didi Yojana. Keeping in view the interests of  ASHA and Anganwadi workers, they have been included in the Ayushman Bharat  Scheme. The youth today are getting stronger through Start Up India and Khelo India.  They will be given an interest-free loan of for a period of 50 years. From Elon Musk,  and Joe Biden to Vladimir Putin, everyone is praising India's development. In the last  10 years, about Rs 18 lakh crore has been received by paddy and wheat farmers as  MSP, which is two-and-a-half times more than that in 2014. The government has  created a Ministry of Cooperation for the first time to promote cooperatives in  agriculture. Despite the global crises, the government kept inflation under control in  the country and did not allow the burden of the common Indian to increase. In the 10  years before 2014, the average inflation rate was more than 8 percent. The average  inflation rate in the last decade was 5 percent. The construction of Atal Setu, which  was pending for many years, was completed. Today, be it MTHL Samruddhi  Mahamarg or Coastal Road, all these projects are being constructed within the time  limit. Today such infrastructure is being built in India, which every Indian dreamt of.  During the last 10 years, 3.75 lakh kilometers of new roads have been constructed in  the villages. The length of national highways has increased from 90 thousand  kilometres to 1 lakh 46 thousand kilometres. The number of airports has almost  doubled from 74 to 149. The number of broadband users has increased 14 times.  About 2 lakh village panchayats of the country have been connected with optical fibre.  A 10,000-km gas pipeline has also been laid in the country. Today, 20 cities have  metro facilities which are limited to just 5 cities. More than 25 thousand kilometers of  railway tracks were laid. This is more than the total railway track length of many  developed countries. Today, Vande Bharat trains are running on more than 39 routes  and more than 1300 railway stations are being transformed under the Amrit Bharat  Station Scheme and all these projects have been completed in just ten years.","Wednesday, February 7, 2024",Union Budget,M,Shiv Sena,Appreciate
133,SHRI RAHUL RAMESH SHEWALE,"I welcome and support this interim  budget on behalf of myself and my party. During the tenure of Shri Narendra Modi Ji,  25 crore people have been lifted out of poverty and 80 crore people have been  provided free foodgrains through various schemes. PM Jan Dhan Yojana's account is  an important achievement of the Government. The Government under the leadership  of Prime Minister Shri Narendra Modi has achieved many such achievements. This is  more than any Prime Minister's tenure. Artisans and street vendors are being helped  through the PM Vishwakarma Yojana, PM-SVANidhi Scheme etc. Mudra Yojana  loans are being distributed to women entrepreneurs. 43 crore loans sanctioned under  PM Mudra Yojana. Under the leadership of the Prime  Minister, inflation has come  down economic growth has accelerated and the average real income of people has  increased by 50%. The Government decided to subsidise the construction of 30  million affordable houses in rural areas. Ayushman Bharat Yojana is an important  government scheme meant for the well-being of the people. The Government's  decision to promote ‘Nano DAP’ is a welcome step.The effort of the Government is to  make the country self-sufficient in the production of oilseeds. Under the leadership of  Modi ji, the Government has decided to convert 40,000 general railway coaches  according to Vande Bharat standards, this will increase the facilities of rail passengers.  The Government is taking revolutionary steps in every field such as fisheries, tourism,  aviation etc in the public interest. There has been no change in income tax slabs in the  interim budget 2024. I hope that when a new government is formed at the Centre  under the leadership of Modi ji, a full-fledged budget will come and it will definitely  take care of the middle class. The interest earned on pensions or deposits of senior  citizens should be exempted from tax.","Wednesday, February 7, 2024",Union Budget,M,Shiv Sena,Appreciate
